t, x, y, z, vx, vy, vz 
0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.0000000000e+01, 0.0000000000e+00, 2.5000000000e+01, 0.0000000000e+00
3.1250000000e-03, 2.0000317385e+01, 7.8124234687e-02, 1.9999952980e+01, 2.0312572500e-01, 2.4999265302e+01, -3.0092937580e-02
6.2500000000e-03, 2.0001269525e+01, 1.5624387755e-01, 1.9999811919e+01, 4.0624087303e-01, 2.4997061248e+01, -6.0185733663e-02
9.3750000000e-03, 2.0002856369e+01, 2.3435433702e-01, 1.9999576819e+01, 6.0933486767e-01, 2.4993387950e+01, -9.0278246751e-02
1.2500000000e-02, 2.0005077835e+01, 3.1245102197e-01, 1.9999247681e+01, 8.1239713360e-01, 2.4988245599e+01, -1.2037033535e-01
1.5625000000e-02, 2.0007933807e+01, 3.9052934202e-01, 1.9998824505e+01, 1.0154170971e+00, 2.4981634462e+01, -1.5046185796e-01
1.8750000000e-02, 2.0011424136e+01, 4.6858470772e-01, 1.9998307295e+01, 1.2183841868e+00, 2.4973554882e+01, -1.8055267310e-01
2.1875000000e-02, 2.0015548642e+01, 5.4661253083e-01, 1.9997696052e+01, 1.4212878338e+00, 2.4964007276e+01, -2.1064263927e-01
2.5000000000e-02, 2.0020307108e+01, 6.2460822451e-01, 1.9996990779e+01, 1.6241174726e+00, 2.4952992139e+01, -2.4073161500e-01
2.8125000000e-02, 2.0025699288e+01, 7.0256720361e-01, 1.9996191480e+01, 1.8268625418e+00, 2.4940510042e+01, -2.7081945881e-01
3.1250000000e-02, 2.0031724900e+01, 7.8048488486e-01, 1.9995298159e+01, 2.0295124839e+00, 2.4926561632e+01, -3.0090602921e-01
3.4375000000e-02, 2.0038383631e+01, 8.5835668714e-01, 1.9994310819e+01, 2.2320567467e+00, 2.4911147630e+01, -3.3099118475e-01
3.7500000000e-02, 2.0045675134e+01, 9.3617803172e-01, 1.9993229466e+01, 2.4344847834e+00, 2.4894268837e+01, -3.6107478395e-01
4.0625000000e-02, 2.0053599029e+01, 1.0139443425e+00, 1.9992054104e+01, 2.6367860530e+00, 2.4875926125e+01, -3.9115668538e-01
4.3750000000e-02, 2.0062154903e+01, 1.0916510461e+00, 1.9990784738e+01, 2.8389500213e+00, 2.4856120445e+01, -4.2123674758e-01
4.6875000000e-02, 2.0071342312e+01, 1.1692935724e+00, 1.9989421376e+01, 3.0409661612e+00, 2.4834852824e+01, -4.5131482911e-01
5.0000000000e-02, 2.0081160777e+01, 1.2468673545e+00, 1.9987964023e+01, 3.2428239531e+00, 2.4812124362e+01, -4.8139078855e-01
5.3125000000e-02, 2.0091609786e+01, 1.3243678291e+00, 1.9986412686e+01, 3.4445128858e+00, 2.4787936238e+01, -5.1146448448e-01
5.6250000000e-02, 2.0102688796e+01, 1.4017904368e+00, 1.9984767372e+01, 3.6460224567e+00, 2.4762289704e+01, -5.4153577549e-01
5.9375000000e-02, 2.0114397229e+01, 1.4791306220e+00, 1.9983028090e+01, 3.8473421725e+00, 2.4735186088e+01, -5.7160452019e-01
6.2500000000e-02, 2.0126734476e+01, 1.5563838335e+00, 1.9981194847e+01, 4.0484615498e+00, 2.4706626796e+01, -6.0167057719e-01
6.5625000000e-02, 2.0139699894e+01, 1.6335455247e+00, 1.9979267652e+01, 4.2493701155e+00, 2.4676613306e+01, -6.3173380512e-01
6.8750000000e-02, 2.0153292808e+01, 1.7106111535e+00, 1.9977246514e+01, 4.4500574075e+00, 2.4645147173e+01, -6.6179406263e-01
7.1875000000e-02, 2.0167512511e+01, 1.7875761830e+00, 1.9975131442e+01, 4.6505129752e+00, 2.4612230027e+01, -6.9185120836e-01
7.5000000000e-02, 2.0182358262e+01, 1.8644360815e+00, 1.9972922447e+01, 4.8507263797e+00, 2.4577863574e+01, -7.2190510099e-01
